resp_id,worker_pre,att_covid_selfsevere,age,weight_main
208,yes,Somewhat agree,60,0
209,yes,Somewhat disagree,58,0
210,yes,Strongly agree,70,0
211,yes,Strongly agree,56,0
212,yes,Somewhat agree,41,0
213,yes,Strongly agree,51,0
214,yes,Somewhat disagree,34,0
215,yes,Somewhat agree,35,0
216,yes,Strongly disagree,24,0
217,yes,Strongly disagree,44,0
218,yes,Neutral,52,0
219,no,Somewhat agree,44,0
220,yes,Somewhat disagree,31,0
221,yes,Strongly agree,37,0
222,yes,Somewhat agree,29,0
223,yes,Somewhat disagree,34,0
225,yes,Strongly agree,27,0
226,yes,Somewhat disagree,26,0
227,yes,Strongly disagree,45,0
228,yes,Strongly agree,50,0
229,yes,Strongly agree,23,0
230,no,Strongly agree,67,0
231,yes,Somewhat agree,56,0
232,yes,Somewhat agree,26,0
233,yes,Strongly agree,27,0
234,yes,Strongly agree,50,0
235,yes,Somewhat disagree,30,0
236,yes,Strongly agree,53,0
237,yes,Neutral,57,0
238,yes,Somewhat agree,23,0
239,yes,Somewhat agree,33,0
240,yes,Somewhat disagree,41,0
242,yes,Strongly disagree,54,0
244,yes,Somewhat disagree,62,0
246,yes,Neutral,38,0
248,yes,Somewhat disagree,46,0
249,yes,Somewhat disagree,41,0
250,yes,Somewhat agree,59,0
251,yes,Neutral,39,0
252,yes,Neutral,27,0
253,yes,Somewhat agree,59,0
254,yes,Somewhat agree,48,0
255,yes,Neutral,24,0
256,yes,Neutral,48,0
257,yes,Strongly agree,53,0
258,no,Somewhat disagree,33,0
259,yes,Somewhat disagree,48,0
260,yes,Somewhat agree,69,0
261,yes,Somewhat agree,31,0
262,yes,Somewhat disagree,39,0
263,yes,Somewhat agree,43,0
264,yes,Somewhat agree,32,0
265,yes,Neutral,58,0
266,yes,Neutral,62,0
268,yes,Strongly agree,28,0
269,yes,Strongly agree,60,0
270,yes,Neutral,30,0
271,yes,Somewhat disagree,35,0
272,yes,Somewhat agree,45,0
273,yes,Somewhat agree,29,0
274,yes,Somewhat agree,45,0
275,yes,Strongly disagree,38,0
276,yes,Somewhat disagree,40,0
277,yes,Somewhat disagree,37,0
278,yes,Somewhat agree,28,0
279,yes,Strongly agree,40,0
